Job Title,Company Name,Posted Date,Tech Stack
Senior Full Stack Developer,OfficeRnD,21 окт.,"Angular, AWS, Azure, Google Cloud, Java, JavaScript, Node.js"
Full Stack Developer,OfficeRnD,21 окт.,"AWS, Azure, English, Express.js, Google Cloud, Nest.js, Node.js"
Tech Lead,Anthill,21 окт.,"AWS, Java, MongoDB, PostgreSQL, RabbitMQ, Redis, Spring"
Assistant Software Developer,Blankfactor,18 окт.,"Angular, C#, English, Java, JavaScript, Python, React"
Lead Fullstack Developer,Amusnet,18 окт.,"Docker, Node.js, SQL, TypeScript, Unix"
Full Stack Developer SAP Build Apps,SAP,17 окт.,"JavaScript, Node.js, React, SAP, TypeScript"
Expert Software Developer for SAP BTP CI & Delivery service,SAP,17 окт.,"English, Git, GitHub, Java, JavaScript, Jenkins, UI5"
Software developer for SAP CI & Delivery service,SAP,17 окт.,"Cloud Foundry, English, Git, GitHub, Java, JavaScript, UI5"
Senior Software developer for SAP CI & Delivery service,SAP,17 окт.,"Cloud Foundry, English, Git, GitHub, Java, JavaScript, UI5"
Junior Full Stack Developer for Circular Economy Cloud Applications,SAP,17 окт.,"English, Java, JavaScript"
Senior developer – Business Application Studio,SAP,17 окт.,"English, Microservices, Node.js, TypeScript"
Developer for Dev Tools Team,SAP,17 окт.,"English, Go, JavaScript, TypeScript"
Developer – Business Application Studio,SAP,17 окт.,"English, Node.js, TypeScript"
Developer for Cloud Native,SAP,17 окт.,"AWS, Azure, Bash, English, Google Cloud, Java, JavaScript"
Full Stack SAPUI5 Developer,SAP,17 окт.,"CSS3, HTML5, JavaScript, jQuery, OData, RAP, SAP"
Full-Stack Developer for Temporal Service,SAP,17 окт.,"English, Go, JavaScript"
Full Stack Python Developer,HedgeServ,17 окт.,"English, Object-oriented programming, Python"
Full Stack JavaScript Developer,HedgeServ,17 окт.,"Angular, JavaScript, Node.js, TypeScript"
Senior Full-Stack Developer,SAP,17 окт.,"Cypress, English, Git, GitHub, Java, JavaScript, jQuery"
(Senior) Full-Stack Developer for Temporal Service,SAP,17 окт.,"AWS, Azure, English, Go, Google Cloud, JavaScript"
Junior Developer – SAP Next Talent Program,SAP,17 окт.,"C/C++, C#, Go, Java, JavaScript, Node.js, Python"
(Senior) Full Stack Developer for Circular Economy Cloud Applications,SAP,17 окт.,"English, Java, JavaScript"
Development Architect for Circular Economy Cloud Applications,SAP,17 окт.,"English, Java, JavaScript, Spring"
Developer,SAP,17 окт.,"C#, C++, Cloud Foundry, Docker, English, Git, Go"
Mid/Senior Software Engineer (Python & AWS),Pwrteams,16 окт.,"AWS, C#, Go, Java, JavaScript, Kafka, Kubernetes"
Technical Lead with PHP,Ozone Entertainment,16 окт.,"Git, JavaScript, Kubernetes, Laravel, MongoDB, MySQL, Nest.js"
Full-Stack Developer (Java & Angular),"ARHS Group, part of Accenture",16 окт.,"Angular, English, Hibernate, Java, JavaScript, jQuery, Oracle"
Senior Back-End / Full Stack Developer,SAP,15 окт.,"Docker, English, Go, JavaScript, Kubernetes, SAFe, TypeScript"
Junior Developer Customer Innovation Team,SAP,15 окт.,"AWS, Azure, Google Cloud, Hibernate, Java, JavaScript, Jenkins"
Cloud Native Developer Associate,SAP,15 окт.,"C#, C++, Docker, English, Git, Go, IntelliJ IDEA"
Senior Full-Stack Web Developer with Laravel,RaceFacer,15 окт.,"Git, Laravel, MySQL, PHP, PostgreSQL, SOAP, Vue.js"
Full Stack Software Engineer,Qualifast,11 окт.,"Angular, Docker, English, Google Cloud, Hibernate, Java, JavaScript"
Senior Full Stack Developer (Security & Compliance),SAP,11 окт.,"English, Git, Java, JavaScript, Microservices, Python, React"
Full-Stack Developer Associate,SAP,10 окт.,"Cloud Foundry, English, Java, JavaScript, SAP"
Full-Stack Team Lead (React+Java),SolarEdge,10 окт.,"English, Hibernate, Java, React, Spring"
ServiceNow Developer,Pwrteams,10 окт.,"ITIL, Linux, Python, ServiceNow"
Full stack Software Engineer,Modeshift,10 окт.,"C#, English, JavaScript, NoSQL, React, SQL, TypeScript"
Senior Full-stack Developer (.NET),Modeshift,10 окт.,".NET, Angular, C#, JavaScript, Node.js, NoSQL, React"
Full Stack .NET Developer,KBC Global Services,10 окт.,".NET, ASP.NET Core, Azure DevOps, C#, Entity Framework, Git, Microsoft SQL Server"
FullStack Developer,ProCredit Bank,9 окт.,".NET, Angular, React, SQL, Vue.js"
Senior Full-stack Java Software Engineer,ROITI,9 окт.,"Angular, Azure Cloud, Azure DevOps, Docker, English, Java, Kafka"
Стажантска Програма за Програмисти,TelebidPro,9 окт.,"C#, C++, English, HTML5, Java, JavaScript, Linux"
Fullstack Developer,Anthill,8 окт.,".NET, Azure, C#, Microsoft SQL Server, T-SQL"
SENIOR APPLICATION DEVELOPER,Postbank,8 окт.,".NET Core, ASP.NET, C#, English, HTML5, JavaScript, jQuery"
Junior Full Stack Developer,SAP,8 окт.,"Cypress, English, Git, GitHub, HTML5, Java, JavaScript"
Technical Lead,LimeChain,7 окт.,"Angular, Blockchain, Go, GraphQL, Java, Node.js, React"
Full stack developer App Runtime team,SAP,4 окт.,"Node.js, React, React Native, Ruby, Shell, TypeScript"
AI Developer Expert for Intelligent Insights in the Tools Team,SAP,4 окт.,"Angular, Azure, English, GitHub, Go, JavaScript, Jenkins"
Senior Full Stack Developer with Python and JavaScript,SAP,4 окт.,"English, Git, JavaScript, Python, SAP HANA, SQL"
"Software Development Team Lead, Sportsbook Web [JR08429]",DraftKings,3 окт.,"Angular, Bamboo, JavaScript, Jest, Node.js, Octopus, React"
Senior Software Engineer – Content Analytics,Financial Times,3 окт.,"Amazon DynamoDB, CircleCI, Fastly, JavaScript, Jest, Next.js, Node.js"
Full-stack software developer with Laravel and React,AMPECO,3 окт.,"English, Git, Laravel, PHP, React"
Full Stack .Net Software Engineer,Cobuilder,3 окт.,".NET, Angular, Azure, C#, English, Microsoft SQL Server, NoSQL"
Junior Full Stack .Net Software Engineer – min 1 year experience,Cobuilder,3 окт.,".NET, Angular, C#, CSS3, English, HTML5, Microsoft SQL Server"
Full Stack Angular + .NET Engineer,Resolute Software,2 окт.,".NET, Angular, English, Git, JavaScript, TypeScript"
Senior Fullstack Еngineer (Java + Angular),Yotpo,1 окт.,"Angular, Docker, Java, Spring, Spring Boot"
Senior Full Stack Engineer (Java + React),Yotpo,1 окт.,"AWS, Coralogix, Cypress, Docker, Grafana, Java, Kafka"
Senior Full-Stack Developer,SAP,1 окт.,"Angular, English, Git, HTML5, Java, JavaScript, Jira"
Full-Stack .NET Engineer,Anthill,27 сеп.,".NET, Azure, C#, Microsoft SQL Server"
Full Stack Developer,SAP,27 сеп.,"Elasticsearch, English, Git, JavaScript, Kibana, Microservices, Node.js"
Adobe Experience Manager (AEM) developer,KBC Global Services,27 сеп.,"Adobe Experience Manager, Java, JavaScript, Spring, Spring Boot"
Senior Software Engineer (Data Privacy),SAP,26 сеп.,"Cloud Foundry, English, Java, JavaScript, Microservices, Node.js, OData"
Senior Full Stack Engineer,SBT Solution,26 сеп.,"AWS, English, Enzyme, Google Cloud, Java, JavaScript, Jest"
Fullstack Developer,Amusnet,25 сеп.,"Docker, Node.js, SQL, TypeScript"
(Senior) Full Stack Developer with ABAP,SAP,25 сеп.,"English, GitHub, Go, Java, JavaScript, Jenkins, SAP ABAP"
Senior Software Developer,Dynamo Software Bulgaria,25 сеп.,"C#, CSS3, Git, HTML5, JavaScript, Jest, Microsoft SQL Server"
Senior Full-Stack Developer (Java/Angular),A1 Bulgaria,21 окт.,"Angular, English, Gradle, Hibernate, IntelliJ IDEA, Java, JavaScript"
Full Stack Developer,Methodia,21 окт.,"Bootstrap, English, Jakarta EE, Java, Java J2EE, JavaScript, Node.js"
Senior Software Engineer,Payhawk,17 окт.,"Docker, Google Cloud, Kafka, Kubernetes, Node.js, PlantUML, PostgreSQL"
Software Development Trainee,Yettel,17 окт.,"Bulgarian, English, JavaScript, Linux/UNIX, Object-oriented programming, PHP"
FULLSTACK SOFTWARE ENGINEER WITH GOLANG FOR INTERNAL DEVELOPER PLATFORM m/f/d,Schwarz IT,16 окт.,"Azure, Docker, Git, Go, Google Cloud, JavaScript, Kubernetes"
Junior Full-Stack Developer,ZigiWave,16 окт.,"Docker, Java, React"
.NET Full-Stack Developer,Accedia,14 окт.,".NET, .NET Core, Angular, Azure, English, HTML5, JavaScript"
Junior Web Developer,cleversoft group,14 окт.,"English, JavaScript, jQuery, PHP"
Senior Software Engineer,Sirma,14 окт.,"Angular, ASP.NET, C#, English, Entity Framework, Hibernate, Java"
Lead Software Developer – eJustice,Westernacher Solutions,13 окт.,"Angular, English, German, Hibernate, Oracle, Spring, TypeScript"
Full -Stack Developer (Next.js/ Spring Boot),Commerzbank Digital Technology Center,11 окт.,"Docker, English, Java, JavaScript, Next.js, React, Spring Boot"
Senior/Lead Software Engineer,IBM Bulgaria,10 окт.,"Angular, Ansible, AWS, Azure, Chef, Docker, GitHub"
SENIOR FULL-STACK DEVELOPER,LeverX,10 окт.,"Docker, English, Gradle, Java, JavaScript, JSON, Kubernetes"
Software Engineer,Payhawk,9 окт.,"Docker, Google Cloud, Kafka, Kubernetes, Node.js, PlantUML, PostgreSQL"
Full Stack Developer (React/PHP),Yotpo,8 окт.,"CakePHP, CSS3, Docker, HTML5, JavaScript, Kubernetes, Laravel"
Software Engineer,Bede Gaming,7 окт.,".NET, Angular, Azure, C#, GitHub, Kubernetes, MongoDB"
Full-stack Software Engineer,Astea,7 окт.,"English, Object-oriented programming"
MIDDLE FULL-STACK DEVELOPER,LeverX,7 окт.,"Docker, English, Git, Hibernate, Java, JavaScript, Kubernetes"
API Software Engineer – Mid/Senior,EvolveTalent,7 окт.,"Git, JavaScript, MariaDB, MySQL, Node.js, SQL"
React.js/Node.js Engineer,Merkle Bulgaria,6 окт.,"AWS, Node.js, Webpack, Vanilla JS, Subversion, Sass, RequireJS"
Senior Angular/Node.js Developer,Infopulse Bulgaria,4 окт.,"Angular, CSS3, English, Firebug, HTML5, Node.js, NoSQL"
Senior Full Stack Developer,Delasport,3 окт.,"GraphQL, JavaScript, MongoDB, MySQL, NoSQL, Object-oriented programming, PHP"
Senior Fullstack developer (Typescript),Sourcelab,2 окт.,"English, Nest.js, Node.js, Playwright, React, Scala, TypeScript"
Senior Fullstack Еngineer,Yotpo,30 сеп.,"Angular, Docker, Java, Spring, Spring Boot"
Team Leader – Software Engineering,Updata One,29 сеп.,"Bootstrap, Django, GitLab, JavaScript, Jira, Python, React"
SENIOR GAME DEVELOPER,Телематик Интерактив България АД,27 сеп.,"Git, GitLab, JavaScript, LESS, Node.js, PixiJS, Sass"
Senior PHP Full Stack Developer – eCommerce,tbi bank,27 сеп.,"Bitbucket, English, Git, GitHub, GitLab, JavaScript, jQuery"
Full Stack Developer,HedgeServ,25 сеп.,"Angular, English, Python, React, SQL, Vue.js"
RPA Developer,A1 Bulgaria,25 сеп.,"BluePrism, English, Java, JavaScript, Python, Robotic Process Automation, SQL"
Mid Java / Java + React Developer,Smart IT,24 сеп.,"English, Git, Java, React, TypeScript"
Mid/ Senior Full Stack Software Developer,Protiviti,24 сеп.,"Angular, Next.js, SQL, Ruby, React, Python, PHP"
Full Stack Developer,Ubitrack,24 сеп.,"Django, Flask, Git, Google Cloud, Python"
Senior Full Stack Engineer,Progress,24 сеп.,".NET, Angular, C#, English, JavaScript, React, TypeScript"
ServiceNow Developer,A1 Bulgaria,23 сеп.,"English, ITIL, Java, JavaScript, Linux, MySQL, ServiceNow"
